"species","datasourceGUID","seedlotGUID","scarified","cs","ws","light","alternating","temperature","nseeds","ngerminated"
"Achillea erba-rotta","4ABF122C-7DFC-20DB-2E6F-E00E2F9E889D","088044D6-7E89-223D-7C7B-973EE0AC16CF","0","0","0","1","0",10,19,1
"Achillea erba-rotta","4ABF122C-7DFC-20DB-2E6F-E00E2F9E889D","088044D6-7E89-223D-7C7B-973EE0AC16CF","0","0","0","1","0",20,20,15
"Achillea nana","BB6C651B-5148-3167-33FE-8C707BB019A6","8302F810-0A43-80EB-AA09-D5A11132092E","0","1","0","1","1",20,60,55
"Achillea nana","BB6C651B-5148-3167-33FE-8C707BB019A6","8302F810-0A43-80EB-AA09-D5A11132092E","0","0","0","0","0",0,60,0
"Achillea nana","BB6C651B-5148-3167-33FE-8C707BB019A6","8302F810-0A43-80EB-AA09-D5A11132092E","0","1","0","1","1",10,60,51
"Achillea nana","BB6C651B-5148-3167-33FE-8C707BB019A6","8302F810-0A43-80EB-AA09-D5A11132092E","0","0","0","1","1",20,60,23
"Achillea nana","BB6C651B-5148-3167-33FE-8C707BB019A6","8302F810-0A43-80EB-AA09-D5A11132092E","0","1","0","1","1",20,60,57
"Achillea nana","BB6C651B-5148-3167-33FE-8C707BB019A6","8302F810-0A43-80EB-AA09-D5A11132092E","0","1","0","1","1",10,60,47
"Achillea nana","BB6C651B-5148-3167-33FE-8C707BB019A6","8302F810-0A43-80EB-AA09-D5A11132092E","0","0","0","1","1",10,60,2
"Achillea ptarmica","4ABF122C-7DFC-20DB-2E6F-E00E2F9E889D","C361E920-8818-5549-8DA9-F3B1CDA382EF","0","0","0","1","0",21,50,46
"Achillea ptarmica","4ABF122C-7DFC-20DB-2E6F-E00E2F9E889D","C361E920-8818-5549-8DA9-F3B1CDA382EF","0","0","0","1","0",20,19,19
"Achillea ptarmica","4ABF122C-7DFC-20DB-2E6F-E00E2F9E889D","C361E920-8818-5549-8DA9-F3B1CDA382EF","0","0","0","1","0",21,20,20
"Achillea ptarmica","4ABF122C-7DFC-20DB-2E6F-E00E2F9E889D","C361E920-8818-5549-8DA9-F3B1CDA382EF","0","0","0","1","0",21,50,48
"Achnatherum bromoides","4ABF122C-7DFC-20DB-2E6F-E00E2F9E889D","F83B5710-A581-8236-D7E8-7A021483DE3E","1","0","0","1","1",13.33333333,10,2
"Achnatherum bromoides","4ABF122C-7DFC-20DB-2E6F-E00E2F9E889D","F83B5710-A581-8236-D7E8-7A021483DE3E","0","0","0","1","1",16,15,14
"Achnatherum bromoides","4ABF122C-7DFC-20DB-2E6F-E00E2F9E889D","F83B5710-A581-8236-D7E8-7A021483DE3E","0","0","0","1","1",16,10,10
